Stallion,Gait,Country 1 (AUS),Stud,Country 2 (NZ),Stud,Country 3 (USA),Stud,Country 4 (CA),Stud,Country 5 (FRA),Stud,Country 6 (SWE),Stud
Habibi Inta,Trotter,,,New Zealand,Phoebe Standradbreds,,,,,,,,
Helpisontheway,Trotter,Australia,Balmain Lodge,,,,,,,,,,
Highview Tommy,Pacer,Australia,Yanko Lodge,,,,,,,,,,
Huntsville,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,,
Il Vicolo,Trotter,,,New Zealand,Nevele R Stud,,,,,,,,
Imperial Count,Trotter,Australia,Bellmoure Park,,,,,,,,,,
In Range,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,,
Johnny Rock,Pacer,,,New Zealand,Nevele R Stud,,,,,,,,
King Of Swing,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
King of the North,Trotter,Australia,Llowalong Farms,New Zealand,Llowalong Farms,,,,,,,,
Krug,Pacer,,,New Zealand,Phoebe Standradbreds,,,,,,,,
Kvintet Avenger,Trotter,Australia,Truscott Lodge,,,,,,,,,,
Lather Up,Pacer,Australia,Woodlands Stud,New Zealand,Woodlands Stud,,,,,,,,
Lazarus,Pacer,,,New Zealand,Wai Eyre Farm,,,,,,,,
Legendary Hanover,Pacer,Australia,Rampart Standardbreds,,,USA,Hanover Shoe Farms,,,,,Sweden,Stalleberga Stuteri
Lennytheshark,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
Locharburn,Pacer,,,New Zealand,Phoebe Standradbreds,,,,,,,,
Louprint,Pacer,,,,,USA,Winbak Farm of Maryland,Canada,Winbak Farm of Canada,,,,
Lou's Pearlman,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
Love You,Trotter,,,,,,,,,France,Haras de Sassy,Sweden,Stuteri Ab Lex
Maharajah,Trotter,Australia,Aldebaran Park,,,,,,,,,,
Majestic Son,Trotter,Australia,Alabar,New Zealand,Alabar,,,Canada,Seelster Farms,,,,
Major Secret,Pacer,Australia,Allenby Lodge Stud,,,,,,,,,,
Marcoola,Trotter,,,New Zealand,Nevele R Stud,,,,,,,,
Merlin,Pacer,Australia,Alabar,New Zealand,,,,,,,,,
Metropolitan,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
Modern Art,Pacer,Australia,Lochend Stud,,,,,,,,,,
Monkey Bones,Trotter,,,New Zealand,Breckon Farms,,,,,,,,
Monte Miki,Pacer,Australia,Rampart Standardbreds,,,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,,
Mr Feelgood,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
Muscle Hill,Trotter,Australia,Stallions Australasia Pty Ltd,,,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Muscle M Up,Trotter,Australia,Medowie Lodge,,,,,,,,,,
Muscle Mass,Trotter,,,,,USA,Kentuckiana Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
MY CHACHING CHACHING,Pacer,Australia,Medowie Lodge,,,,,,,,,,
My General Lee,Pacer,Australia,Bellmoure Park,,,,,,,,,,
My High Expectations,Trotter,Australia,Medowie Lodge,,,,,,,,,,
Nativesdunandusted,Pacer,Australia,Buckskin Standardbreds,,,,,,,,,,
Ninjinsky,Pacer,Australia,Yirribee Pacing Stud,New Zealand,Yirribee Pacing Stud,USA,,Canada,,,,,
On a Streak,Trotter,Australia,Yabby Dam Farms,New Zealand,Wai Eyre Farm,,,,,,,,
One Over Da Moon,Trotter,,,New Zealand,Breckon Farms,,,,,,,,
Orlando Vici,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,,,Canada,Seelster Farms,France,Haras de Bouttemont,Sweden,Stuteri Ab Lex
Oscar Bonavena,Trotter,,,New Zealand,Equibreed,,,,,,,,
Panorama Swing,Pacer,Australia,Dream Lodge,,,,,,,,,,
Pastor Stephen,Trotter,Australia,Llowalong Farms,New Zealand,Llowalong Farms,,,,,,,,
Peak,Trotter,,,New Zealand,Bellmoure Park,,,,,,,,
Pebble Beach,Pacer,Australia,Alabar,New Zealand,Alabar,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,,
Perfect Sting,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,USA,,,,,,,
Poster Boy,Pacer,Australia,Llowalong Farms,New Zealand,Llowalong Farms,,,,,,,,
Propulsion,Trotter,Australia,Trump Bloodstock,,,,,,,,,,
Quaker Jet,Trotter,,,,,,,,,France,Haras de Bouttemont,Sweden,Stuteri Ab Lex
R Eleven,Pacer,,,New Zealand,Hawaiki Stud,,,,,,,,
Raging Bull,Pacer,Australia,Llowalong Farms,New Zealand,Llowalong Farms,,,,,,,,
Ready Cash,Trotter,,,,,,,,,France,Haras de Bouttemont,Sweden,Stuteri Ab Lex
Renaissance Man,Pacer,Australia,Woodanookie Pacing Stud,,,,,,,,,,
Ride High,Pacer,Australia,Alabar,New Zealand,Alabar,,,,,,,,
Rock N Roll Heaven,Pacer,Australia,Alabar,New Zealand,Alabar,,,Canada,Seelster Farms,,,Sweden,Stalleberga Stuteri
Rock N Roll World,Pacer,Australia,Allwood Stud Farm,,,,,,,,,,
Royal Aspirations,Trotter,,,New Zealand,Phoebe Standradbreds,,,,,,,,
School Captain,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
Sebastian K,Trotter,Australia,Trump Bloodstock,,,,,,,,,,
Shockwave,Pacer,Australia,Bells Pacing Stable,,,,,,,,,,
Shoobees Place,Pacer,Australia,Smithdale Farm,,,,,,,,,,
Sir Lincoln,Pacer,,,New Zealand,Alabar NZ,,,,,,,,
Six Pack,Trotter,,,New Zealand,Macca Lodge,USA,Cameo Hills Farm,,,,,Sweden,Stall Six
Skyvalley,Trotter,Australia,Aldebaran Park,,,,,,,,,,
Smiling Shard,Pacer,Australia,Tourello Standardbreds,,,,,,,,,,
Soho Lanikai,Pacer,Australia,Medowie Lodge,,,,,,,,,,
Soho Tribeca,Pacer,Australia,Cobbitty Equine,New Zealand,Cobbitty Equine,,,,,,,,
Speeding Spur,Trotter,Australia,Woodlands Stud,New Zealand,Woodlands Stud,,,,,,,,
Stay Hungry,Pacer,Australia,Empire Stallions,New Zealand,Empire Stallions,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Stonebridge Regal,Pacer,Australia,Elderslie Horse Care And Spelling,,,,,,,,,,
Summa Cum Laude,Trotter,Australia,Tourello Standardbreds,,,,,,,,,,
Sundons Courage,Trotter,Australia,Truscott Lodge,,,,,,,,,,
Sutter Hanover,Pacer,Australia,Elderslie Horse Care And Spelling,,,,,,,,,,
Swan For All,Trotter,,,,,USA,Kentuckiana Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Sweet Lou,Pacer,Australia,Woodlands Stud,New Zealand,Woodlands Stud,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
T C I,Pacer,,,,,USA,Cameo Hills Farm,,,,,,
Tactical Approach,Trotter,Australia,Alabar,New Zealand,Alabar,USA,Hanover Shoe Farms,,,,,,
Tactical Landing,Trotter,,,New Zealand,Dancing On Moonlight,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Tattoo Artist,Trotter,,,New Zealand,Dancing On Moonlight,USA,Frozen semen handled by Rood & Riddle Equine Hospital,Canada,Meridian Farm,,,,
Terror to Love,Pacer,,,New Zealand,Pinelea Farm,,,,,,,,
The Storm Inside,Pacer,Australia,Alabar,New Zealand,Alabar,,,,,,,,
Tiger Tara,Pacer,Australia,Medowie Lodge,,,,,,,,,,
Timoko,Trotter,,,,,,,,,France,Haras de Bouttemont,Sweden,Stuteri Ab Lex
Timothy Red,Trotter,Australia,Medowie Lodge,,,,,,,,,,
Tintin In America,Pacer,Australia,Wingate Farm,,,,,,,,,,
Trixton,Trotter,Australia,Stallions Australasia Pty Ltd,,,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Ultimate Machete,Pacer,,,New Zealand,,,,,,,,,
Ultimate Sniper,Pacer,Australia,Allwood Stud Farm,New Zealand,Allwood Stud Farm,,,,,,,,
US Captain,Pacer,,,New Zealand,Wai Eyre Farm,,,,,,,,
Used To Me,Trotter,Australia,Yabby Dam Farms,,,,,,,,,,
